roulette; roulette;40199,6226;3708,8267
roulette; random;45328,6013;967,5844
roulette; ts2;50300,0517;3010,3629
roulette; ts3;58433,2242;2810,0883
ts2; roulette;69344,7388;7985,2835
ts3; roulette;73942,4747;2489,2511
ts2; ts2;74102,5322;3456,4116
ts2; random;74439,4152;1775,5433
ts3; random;75138,9453;2567,8802
ts2; ts3;75613,0044;1278,5291
ts3; ts2;76817,7884;4239,8301
ts3; ts3;78242,0359;3940,9643
